IS_Number,Title,Section,Year_Notified,ICS_Code,Status,Applicable_To,Scope_Description
IS 3686-3:1996,Methods of test f,Transport Engine,1996,25.059,Active,automotive lightin,"Applicable to automotive lighting manufactured, tes"
IS 4038-2:2005,Safety requireme,Civil Engineering,2005,55.013,Active,prefabricated stru,Applicable to prefabricated structures manufactured
IS 3916:1990,Specification for,Textile,1990,28.03,Active,protective clothin,"Applicable to protective clothing manufactured, test"
IS 3005-4:2017,Methods of test f,Electronics and I,2017,96.067,Under Revision,LED lighting prod,"Applicable to LED lighting products manufactured,"
IS 366-3:1996,Methods of test f,Mechanical Engi,1996,71.014,Active,bearings,"Applicable to bearings manufactured, tested, or sol"
IS 3010-3:2008,Methods of test f,Electronics and I,2008,79.013,Under Revision,audio and video,Applicable to audio and video equipment manufact
IS 466-2:1993,Methods of test f,Management and,1993,74.068,Under Revision,hazard analysis a,Applicable to hazard analysis and critical control po
IS 560-6:2003,Performance req,Metallurgical Eng,2003,34.045,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 1902-6:2021,General requirem,Chemical,2021,11.047,Active,plastics and poly,"Applicable to plastics and polymers manufactured,"
IS 3672-5:2000,Classification an,Transport Engine,2000,51.045,Under Revision,marine equipmen,"Applicable to marine equipment manufactured, test"
IS 355-4:1991,Code of practice,Mechanical Engi,1991,65.089,Active,valves,"Applicable to valves manufactured, tested, or sold i"
IS 3666-5:2014,Classification an,Transport Engine,2014,71.012,Active,bicycle compone,"Applicable to bicycle components manufactured, te"
IS 4113-4:1997,Guidelines for ke,"Petroleum, Coal",1997,60.052,Active,kerosene,"Applicable to kerosene manufactured, tested, or so"
IS 2987-2:2003,Classification an,Electronics and I,2003,30.07,Active,wireless commun,Applicable to wireless communication equipment m
IS 801-4:2007,Specification for,Electrotechnical,2007,90.096,Under Revision,circuit breakers,"Applicable to circuit breakers manufactured, tested"
IS 4106:2008,Code of practice,"Petroleum, Coal",2008,35.05,Withdrawn,aviation turbine f,"Applicable to aviation turbine fuel manufactured, te"
IS 434-2:2017,General requirem,Management and,2017,18.038,Active,environmental m,Applicable to environmental management systems
IS 1815-3:1998,Classification an,Water Resources,1998,71.095,Active,water storage tan,"Applicable to water storage tanks manufactured, te"
IS 4084-5:2002,Safety requireme,"Petroleum, Coal",2002,98.026,Active,furnace oil,"Applicable to furnace oil manufactured, tested, or s"
IS 4049:2002,General requirem,Civil Engineering,2002,63.024,Active,bitumen for roads,"Applicable to bitumen for roads manufactured, teste"
IS 371-4:2023,Guidelines for bo,Mechanical Engi,2023,94.099,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 3804-4:1999,Code of practice,Medical Equipme,1999,26.016,Active,surgical instrume,"Applicable to surgical instruments manufactured, te"
IS 2983-2:2011,General requirem,Electronics and I,2011,31.022,Active,power adapters,"Applicable to power adapters manufactured, tested"
IS 3948-3:2022,Methods of test f,Textile,2022,61.065,Under Revision,silk fabric,"Applicable to silk fabric manufactured, tested, or so"
IS 1837:2020,Quality requirem,Water Resources,2020,98.042,Active,dam safety inspe,"Applicable to dam safety inspection manufactured,"
IS 845-4:1995,Sampling and tes,Electrotechnical,1995,76.095,Active,electrical insulati,Applicable to electrical insulating materials manufac
IS 4051-5:2006,Classification an,Civil Engineering,2006,79.087,Under Revision,sanitary fittings,"Applicable to sanitary fittings manufactured, tested,"
IS 2972-3:2006,Safety requireme,Electronics and I,2006,94.063,Active,laptop batteries,"Applicable to laptop batteries manufactured, tested"
IS 3936:2014,Quality requirem,Textile,2014,28.099,Active,protective clothin,"Applicable to protective clothing manufactured, test"
IS 4117-6:2019,Methods of test f,"Petroleum, Coal",2019,96.06,Active,grease,"Applicable to grease manufactured, tested, or sold"
IS 3658:2010,Safety requireme,Transport Engine,2010,71.074,Withdrawn,automotive batte,"Applicable to automotive batteries manufactured, te"
IS 3670:2016,General requirem,Transport Engine,2016,28.077,Active,automotive glass,"Applicable to automotive glass manufactured, teste"
IS 2990:2022,Code of practice,Electronics and I,2022,96.083,Under Revision,LED lighting prod,"Applicable to LED lighting products manufactured,"
IS 3655-6:2017,Performance req,Transport Engine,2017,53.091,Active,commercial vehic,Applicable to commercial vehicle bodies manufactu
IS 810-5:2000,Classification an,Electrotechnical,2000,61.027,Active,electric irons,"Applicable to electric irons manufactured, tested, or"
IS 1846-6:2011,Methods of test f,Water Resources,2011,63.08,Active,water pipes and,Applicable to water pipes and fittings manufactured
IS 1915:2014,Guidelines for fe,Chemical,2014,21.011,Under Revision,fertilizers,"Applicable to fertilizers manufactured, tested, or so"
IS 1754:2008,Code of practice,Food and Agricu,2008,63.055,Under Revision,milk and milk pro,"Applicable to milk and milk products manufactured,"
IS 573:2002,Classification an,Metallurgical Eng,2002,13.048,Withdrawn,non-ferrous meta,Applicable to non-ferrous metal castings manufactu
IS 454-2:2015,Methods of test f,Management and,2015,18.076,Active,environmental m,Applicable to environmental management systems
IS 1914-4:2011,Code of practice,Chemical,2011,77.089,Active,insecticides,"Applicable to insecticides manufactured, tested, or"
IS 590-4:2003,Guidelines for fe,Metallurgical Eng,2003,25.022,Active,ferro alloys,"Applicable to ferro alloys manufactured, tested, or s"
IS 1241-6:1995,Specification for,Production and G,1995,39.02,Active,safety helmets,"Applicable to safety helmets manufactured, tested,"
IS 454-6:1999,Quality requirem,Management and,1999,17.059,Active,asset manageme,Applicable to asset management systems manufac
IS 818-3:2004,Code of practice,Electrotechnical,2004,17.051,Active,transformers,"Applicable to transformers manufactured, tested, or"
IS 1846-4:2023,Sampling and tes,Water Resources,2023,53.093,Active,flood control stru,Applicable to flood control structures manufactured
IS 841-2:1999,Methods of test f,Electrotechnical,1999,80.029,Under Revision,LED luminaires,"Applicable to LED luminaires manufactured, tested"
IS 1887-5:2016,Performance req,Chemical,2016,70.066,Active,surface coatings,"Applicable to surface coatings manufactured, tested"
IS 4075-3:2014,Performance req,Civil Engineering,2014,63.032,Active,bricks and blocks,"Applicable to bricks and blocks manufactured, teste"
IS 3019-6:2017,Safety requireme,Electronics and I,2017,74.015,Active,printed circuit bo,"Applicable to printed circuit boards manufactured, t"
IS 595-3:2022,Guidelines for ste,Metallurgical Eng,2022,34.072,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 382-3:2014,Performance req,Mechanical Engi,2014,72.063,Under Revision,welding electrode,"Applicable to welding electrodes manufactured, tes"
IS 3955-2:1999,Sampling and tes,Textile,1999,99.09,Active,textile testing me,"Applicable to textile testing methods manufactured,"
IS 4054-2:2009,Quality requirem,Civil Engineering,2009,42.023,Active,structural steel fo,Applicable to structural steel for buildings manufact
IS 425:1990,Performance req,Management and,1990,63.032,Active,records managem,Applicable to records management practices manu
IS 3927-6:2021,Code of practice,Textile,2021,83.056,Active,synthetic fibres,"Applicable to synthetic fibres manufactured, tested,"
IS 4066-4:1997,Methods of test f,Civil Engineering,1997,72.044,Under Revision,concrete mix des,"Applicable to concrete mix design manufactured, te"
IS 1783-6:1997,Safety requireme,Food and Agricu,1997,10.022,Active,spices and condi,Applicable to spices and condiments manufactured
IS 1818-4:2013,General requirem,Water Resources,2013,75.059,Under Revision,sewage treatmen,Applicable to sewage treatment methods manufact
IS 335-4:2001,Safety requireme,Mechanical Engi,2001,65.043,Active,valves,"Applicable to valves manufactured, tested, or sold i"
IS 602-2:1999,Methods of test f,Metallurgical Eng,1999,59.085,Under Revision,metal coatings,"Applicable to metal coatings manufactured, tested,"
IS 1785-2:1999,Safety requireme,Food and Agricu,1999,96.01,Withdrawn,tea,"Applicable to tea manufactured, tested, or sold in In"
IS 3917-6:2023,Classification an,Textile,2023,83.035,Active,synthetic fibres,"Applicable to synthetic fibres manufactured, tested,"
IS 1240-3:2020,Performance req,Production and G,2020,60.01,Withdrawn,industrial packag,Applicable to industrial packaging crates manufactu
IS 2983-6:2001,Specification for,Electronics and I,2001,43.018,Active,biometric devices,"Applicable to biometric devices manufactured, teste"
IS 428-2:2005,Safety requireme,Management and,2005,82.065,Active,social accountab,Applicable to social accountability requirements ma
IS 366-3:2016,Methods of test f,Mechanical Engi,2016,71.014,Active,bearings,"Applicable to bearings manufactured, tested, or sol"
IS 1738-3:2020,Specification for,Food and Agricu,2020,10.072,Active,spices and condi,Applicable to spices and condiments manufactured
IS 339-6:1995,Specification for,Mechanical Engi,1995,68.041,Active,pumps for indust,Applicable to pumps for industrial use manufacture
IS 1242-3:1992,Safety requireme,Production and G,1992,99.084,Active,dimensional toler,Applicable to dimensional tolerances manufactured
IS 4111-4:2017,Quality requirem,"Petroleum, Coal",2017,35.057,Withdrawn,aviation turbine f,"Applicable to aviation turbine fuel manufactured, te"
IS 4095-2:2011,Specification for,"Petroleum, Coal",2011,40.087,Under Revision,petroleum jelly,"Applicable to petroleum jelly manufactured, tested,"
IS 1760-3:1996,General requirem,Food and Agricu,1996,36.032,Withdrawn,carbonated beve,"Applicable to carbonated beverages manufactured,"
IS 3939-4:2011,Quality requirem,Textile,2011,36.05,Withdrawn,non-woven fabric,"Applicable to non-woven fabrics manufactured, test"
IS 807-6:2009,Safety requireme,Electrotechnical,2009,84.042,Withdrawn,electric geysers,"Applicable to electric geysers manufactured, tested"
IS 4088-5:1994,Classification an,"Petroleum, Coal",1994,73.072,Active,lubricants for eng,"Applicable to lubricants for engines manufactured,"
IS 3937-2:2009,Quality requirem,Textile,2009,11.027,Active,denim fabric,"Applicable to denim fabric manufactured, tested, or"
IS 468-4:2001,Safety requireme,Management and,2001,33.046,Active,quality managem,Applicable to quality management systems manufa
IS 1832-2:2009,Quality requirem,Water Resources,2009,78.083,Active,canal lining meth,"Applicable to canal lining methods manufactured, te"
IS 4089-2:1991,Specification for,"Petroleum, Coal",1991,98.042,Active,furnace oil,"Applicable to furnace oil manufactured, tested, or s"
IS 3690-3:2022,Guidelines for co,Transport Engine,2022,53.028,Active,commercial vehic,Applicable to commercial vehicle bodies manufactu
IS 1841-3:2002,Guidelines for wa,Water Resources,2002,63.054,Active,water pipes and,Applicable to water pipes and fittings manufactured
IS 1778:2012,Methods of test f,Food and Agricu,2012,36.031,Active,pulses,"Applicable to pulses manufactured, tested, or sold"
IS 1838-4:1997,Methods of test f,Water Resources,1997,75.056,Under Revision,sewage treatmen,Applicable to sewage treatment methods manufact
IS 1847-3:2014,Performance req,Water Resources,2014,93.058,Active,water meters,"Applicable to water meters manufactured, tested, o"
IS 3702-5:2016,Sampling and tes,Transport Engine,2016,51.029,Under Revision,marine equipmen,"Applicable to marine equipment manufactured, test"
IS 3945-6:1999,Methods of test f,Textile,1999,19.013,Active,carpets and floor,Applicable to carpets and floor coverings manufactu
IS 1755-2:2003,Code of practice,Food and Agricu,2003,96.086,Withdrawn,tea,"Applicable to tea manufactured, tested, or sold in In"
IS 1736:2004,Specification for,Food and Agricu,2004,51.09,Active,packaged drinkin,Applicable to packaged drinking water manufacture
IS 1263-6:2013,Guidelines for fir,Production and G,2013,85.045,Active,fire extinguishers,"Applicable to fire extinguishers manufactured, teste"
IS 4105-2:2023,General requirem,"Petroleum, Coal",2023,40.043,Under Revision,petroleum jelly,"Applicable to petroleum jelly manufactured, tested,"
IS 3920-5:2000,Specification for,Textile,2000,99.027,Active,textile testing me,"Applicable to textile testing methods manufactured,"
IS 460-2:2007,Methods of test f,Management and,2007,42.054,Active,certification body,Applicable to certification body requirements manuf
IS 585-5:1998,Guidelines for alu,Metallurgical Eng,1998,68.063,Active,aluminium alloys,"Applicable to aluminium alloys manufactured, teste"
IS 350-3:2018,Classification an,Mechanical Engi,2018,39.02,Active,cranes and lifting,Applicable to cranes and lifting equipment manufac
IS 3807-3:2018,General requirem,Medical Equipme,2018,69.05,Under Revision,wheelchairs,"Applicable to wheelchairs manufactured, tested, or"
IS 4089-2:1997,Specification for,"Petroleum, Coal",1997,98.042,Active,furnace oil,"Applicable to furnace oil manufactured, tested, or s"
IS 3677-4:1991,Quality requirem,Transport Engine,1991,34.023,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 4069:2006,Methods of test f,Civil Engineering,2006,63.072,Active,bitumen for roads,"Applicable to bitumen for roads manufactured, teste"
IS 3684-3:2002,Guidelines for ra,Transport Engine,2002,84.046,Active,railway coach fitt,"Applicable to railway coach fittings manufactured, t"
IS 3804-2:2003,Classification an,Medical Equipme,2003,25.042,Active,dental equipmen,"Applicable to dental equipment manufactured, teste"
IS 572-4:1999,General requirem,Metallurgical Eng,1999,31.075,Under Revision,cast iron product,"Applicable to cast iron products manufactured, test"
IS 1268-5:2004,Guidelines for m,Production and G,2004,22.098,Active,material handling,Applicable to material handling equipment manufac
IS 3669-4:1999,Code of practice,Transport Engine,1999,40.088,Active,automotive tyres,"Applicable to automotive tyres manufactured, teste"
IS 1932-6:2011,Performance req,Chemical,2011,11.026,Active,plastics and poly,"Applicable to plastics and polymers manufactured,"
IS 1742-5:2008,Classification an,Food and Agricu,2008,10.018,Active,edible vegetable,"Applicable to edible vegetable oils manufactured, te"
IS 593-5:1990,Methods of test f,Metallurgical Eng,1990,40.062,Withdrawn,galvanized steel,"Applicable to galvanized steel manufactured, tested"
IS 4118-3:2022,Guidelines for tra,"Petroleum, Coal",2022,12.06,Active,transformer oil,"Applicable to transformer oil manufactured, tested,"
IS 1915-5:1992,Code of practice,Chemical,1992,85.062,Under Revision,leather chemicals,"Applicable to leather chemicals manufactured, teste"
IS 598-6:2005,Guidelines for fo,Metallurgical Eng,2005,98.034,Withdrawn,forged componen,"Applicable to forged components manufactured, tes"
IS 4074-6:2011,Methods of test f,Civil Engineering,2011,80.046,Active,earthquake resis,Applicable to earthquake resistant design manufact
IS 1849-3:2000,Methods of test f,Water Resources,2000,30.046,Withdrawn,desalination equ,Applicable to desalination equipment manufactured
IS 1895-5:1994,Safety requireme,Chemical,1994,85.087,Under Revision,leather chemicals,"Applicable to leather chemicals manufactured, teste"
IS 1932-2:1993,Sampling and tes,Chemical,1993,70.059,Active,surface coatings,"Applicable to surface coatings manufactured, tested"
IS 1838-2:2001,Quality requirem,Water Resources,2001,65.062,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
IS 1847-5:1996,Sampling and tes,Water Resources,1996,78.01,Active,canal lining meth,"Applicable to canal lining methods manufactured, te"
IS 4107-2:2009,Code of practice,"Petroleum, Coal",2009,36.048,Active,compressed natu,Applicable to compressed natural gas manufacture
IS 4063-5:2012,Quality requirem,Civil Engineering,2012,55.029,Active,prefabricated stru,Applicable to prefabricated structures manufactured
IS 1930-4:2009,Performance req,Chemical,2009,21.023,Under Revision,fertilizers,"Applicable to fertilizers manufactured, tested, or so"
IS 841-4:2009,Performance req,Electrotechnical,2009,90.085,Under Revision,circuit breakers,"Applicable to circuit breakers manufactured, tested"
IS 3683-2:1995,Guidelines for ve,Transport Engine,1995,49.055,Withdrawn,vehicle braking s,Applicable to vehicle braking systems manufacture
IS 335-2:1999,Specification for,Mechanical Engi,1999,40.05,Active,industrial fastene,"Applicable to industrial fasteners manufactured, tes"
IS 3797-3:1992,Specification for,Medical Equipme,1992,69.066,Under Revision,wheelchairs,"Applicable to wheelchairs manufactured, tested, or"
IS 1815:2016,General requirem,Water Resources,2016,59.089,Active,water quality for,Applicable to water quality for drinking purposes ma
IS 423-5:2002,Performance req,Management and,2002,82.054,Active,social accountab,Applicable to social accountability requirements ma
IS 810-3:1998,General requirem,Electrotechnical,1998,73.054,Active,switches and soc,"Applicable to switches and sockets manufactured, t"
IS 4122-5:1990,Methods of test f,"Petroleum, Coal",1990,36.098,Active,compressed natu,Applicable to compressed natural gas manufacture
IS 364-5:2012,Quality requirem,Mechanical Engi,2012,78.088,Active,conveyor system,"Applicable to conveyor systems manufactured, test"
IS 4093-4:1993,Classification an,"Petroleum, Coal",1993,60.051,Active,kerosene,"Applicable to kerosene manufactured, tested, or so"
IS 813-4:2013,Code of practice,Electrotechnical,2013,77.036,Active,household electr,Applicable to household electrical appliances manu
IS 3686-5:2004,Guidelines for bic,Transport Engine,2004,71.049,Active,bicycle compone,"Applicable to bicycle components manufactured, te"
IS 4107-4:2011,Guidelines for au,"Petroleum, Coal",2011,83.094,Active,automotive fuels,"Applicable to automotive fuels manufactured, tested"
IS 1754-5:2020,Classification an,Food and Agricu,2020,19.061,Under Revision,food colours,"Applicable to food colours manufactured, tested, or"
IS 1901-5:2000,General requirem,Chemical,2000,36.045,Withdrawn,dyes and pigmen,"Applicable to dyes and pigments manufactured, tes"
IS 3700-3:1994,Sampling and tes,Transport Engine,1994,53.094,Active,commercial vehic,Applicable to commercial vehicle bodies manufactu
IS 4095-6:2015,Classification an,"Petroleum, Coal",2015,41.089,Under Revision,petroleum solven,"Applicable to petroleum solvents manufactured, tes"
IS 3825:2020,Methods of test f,Medical Equipme,2020,50.09,Active,oxygen concentr,"Applicable to oxygen concentrators manufactured,"
IS 4072-4:2003,Methods of test f,Civil Engineering,2003,42.095,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 4130:2004,Safety requireme,"Petroleum, Coal",2004,73.023,Under Revision,coal and coke,"Applicable to coal and coke manufactured, tested, o"
IS 4104-3:2004,Quality requirem,"Petroleum, Coal",2004,24.096,Active,liquefied petroleu,Applicable to liquefied petroleum gas manufactured
IS 1888-2:1991,Specification for,Chemical,1991,29.036,Active,detergents and s,"Applicable to detergents and soaps manufactured,"
IS 356-5:2012,Code of practice,Mechanical Engi,2012,18.082,Active,compressors,"Applicable to compressors manufactured, tested, o"
IS 3010-5:2004,Guidelines for ele,Electronics and I,2004,55.026,Under Revision,electronic point o,Applicable to electronic point of sale terminals man
IS 3817-5:2018,Code of practice,Medical Equipme,2018,90.079,Under Revision,nebulizers,"Applicable to nebulizers manufactured, tested, or s"
IS 3699-2:1999,Sampling and tes,Transport Engine,1999,26.02,Active,vehicle wiring ha,"Applicable to vehicle wiring harness manufactured,"
IS 1254-3:2018,General requirem,Production and G,2018,27.019,Under Revision,storage racking s,Applicable to storage racking systems manufacture
IS 1842-2:2001,Methods of test f,Water Resources,2001,78.054,Active,canal lining meth,"Applicable to canal lining methods manufactured, te"
IS 3673-6:2007,Classification an,Transport Engine,2007,49.086,Withdrawn,aircraft ground eq,Applicable to aircraft ground equipment manufactur
IS 457:2020,Guidelines for bu,Management and,2020,66.039,Withdrawn,business continu,Applicable to business continuity management man
IS 3660-5:1994,Classification an,Transport Engine,1994,79.015,Active,vehicle safety be,"Applicable to vehicle safety belts manufactured, tes"
IS 1249-4:2013,General requirem,Production and G,2013,25.018,Under Revision,ladders,"Applicable to ladders manufactured, tested, or sold"
IS 4038-6:2023,Specification for,Civil Engineering,2023,37.025,Active,road aggregates,"Applicable to road aggregates manufactured, tested"
IS 445:1994,General requirem,Management and,1994,63.015,Active,records managem,Applicable to records management practices manu
IS 1920-4:2017,Methods of test f,Chemical,2017,21.093,Under Revision,fertilizers,"Applicable to fertilizers manufactured, tested, or so"
IS 465-3:2014,Performance req,Management and,2014,46.031,Active,occupational hea,Applicable to occupational health and safety manag
IS 372-3:1994,Methods of test f,Mechanical Engi,1994,72.053,Under Revision,welding electrode,"Applicable to welding electrodes manufactured, tes"
IS 3811-3:2004,Quality requirem,Medical Equipme,2004,99.033,Active,disposable syring,"Applicable to disposable syringes manufactured, te"
IS 817-2:2023,Code of practice,Electrotechnical,2023,22.025,Withdrawn,electric motors,"Applicable to electric motors manufactured, tested,"
IS 3009-4:2009,Guidelines for sm,Electronics and I,2009,77.067,Active,smart card reade,"Applicable to smart card readers manufactured, tes"
IS 3682-3:2010,Quality requirem,Transport Engine,2010,49.075,Under Revision,child safety seats,"Applicable to child safety seats manufactured, teste"
IS 4084-3:2020,Specification for,"Petroleum, Coal",2020,24.025,Active,liquefied petroleu,Applicable to liquefied petroleum gas manufactured
IS 1924-2:1993,Methods of test f,Chemical,1993,77.035,Active,pesticides,"Applicable to pesticides manufactured, tested, or so"
IS 575-5:2020,Code of practice,Metallurgical Eng,2020,68.016,Active,aluminium alloys,"Applicable to aluminium alloys manufactured, teste"
IS 4061:2000,Guidelines for co,Civil Engineering,2000,72.095,Under Revision,concrete mix des,"Applicable to concrete mix design manufactured, te"
IS 4045-3:2012,General requirem,Civil Engineering,2012,63.07,Active,bricks and blocks,"Applicable to bricks and blocks manufactured, teste"
IS 3837-3:2020,Performance req,Medical Equipme,2020,69.056,Under Revision,wheelchairs,"Applicable to wheelchairs manufactured, tested, or"
IS 1848-6:1997,Sampling and tes,Water Resources,1997,64.089,Under Revision,water pumps for,Applicable to water pumps for irrigation manufactur
IS 460-2:2001,Methods of test f,Management and,2001,42.054,Active,certification body,Applicable to certification body requirements manuf
IS 3703-2:2019,Safety requireme,Transport Engine,2019,49.023,Withdrawn,vehicle braking s,Applicable to vehicle braking systems manufacture
IS 1257-4:2005,Code of practice,Production and G,2005,98.08,Active,ergonomic desig,Applicable to ergonomic design of workstations ma
IS 430-4:2013,Safety requireme,Management and,2013,63.029,Active,records managem,Applicable to records management practices manu
IS 1252:2022,General requirem,Production and G,2022,98.018,Active,ergonomic desig,Applicable to ergonomic design of workstations ma
IS 1261-2:2009,Code of practice,Production and G,2009,72.035,Active,quality control sa,Applicable to quality control sampling methods man
IS 462-2:2007,Sampling and tes,Management and,2007,25.072,Withdrawn,energy managem,Applicable to energy management systems manufa
IS 3671-6:2021,Code of practice,Transport Engine,2021,25.013,Active,automotive lightin,"Applicable to automotive lighting manufactured, tes"
IS 1269-6:2005,Guidelines for sto,Production and G,2005,27.095,Under Revision,storage racking s,Applicable to storage racking systems manufacture
IS 338-3:2006,Performance req,Mechanical Engi,2006,53.096,Withdrawn,hand tools,"Applicable to hand tools manufactured, tested, or s"
IS 443:2002,Quality requirem,Management and,2002,33.081,Active,quality managem,Applicable to quality management systems manufa
IS 826:1994,Guidelines for cir,Electrotechnical,1994,90.041,Under Revision,circuit breakers,"Applicable to circuit breakers manufactured, tested"
IS 1847-5:1990,Sampling and tes,Water Resources,1990,78.01,Active,canal lining meth,"Applicable to canal lining methods manufactured, te"
IS 606-4:2001,Sampling and tes,Metallurgical Eng,2001,93.054,Active,sheet metal prod,"Applicable to sheet metal products manufactured, t"
IS 1267-4:1997,Guidelines for er,Production and G,1997,98.024,Active,ergonomic desig,Applicable to ergonomic design of workstations ma
IS 1251-6:2015,General requirem,Production and G,2015,39.035,Active,safety helmets,"Applicable to safety helmets manufactured, tested,"
IS 4060-6:1999,Guidelines for br,Civil Engineering,1999,63.076,Active,bricks and blocks,"Applicable to bricks and blocks manufactured, teste"
IS 444-4:2011,Code of practice,Management and,2011,35.074,Active,laboratory accred,Applicable to laboratory accreditation requirements
IS 1750-3:1998,Specification for,Food and Agricu,1998,36.07,Withdrawn,carbonated beve,"Applicable to carbonated beverages manufactured,"
IS 1769-4:2003,Methods of test f,Food and Agricu,2003,63.045,Under Revision,milk and milk pro,"Applicable to milk and milk products manufactured,"
IS 1777-4:1995,Sampling and tes,Food and Agricu,1995,44.067,Active,fruit and vegetab,Applicable to fruit and vegetable products manufac
IS 2974-3:1992,Specification for,Electronics and I,1992,74.044,Active,printed circuit bo,"Applicable to printed circuit boards manufactured, t"
IS 4053-5:2020,General requirem,Civil Engineering,2020,55.015,Active,prefabricated stru,Applicable to prefabricated structures manufactured
IS 451:2000,Guidelines for fo,Management and,2000,65.049,Under Revision,food safety mana,Applicable to food safety management systems ma
IS 1903:2002,General requirem,Chemical,2002,27.039,Active,cosmetics,"Applicable to cosmetics manufactured, tested, or so"
IS 1245-2:1997,Classification an,Production and G,1997,86.093,Withdrawn,industrial gloves,"Applicable to industrial gloves manufactured, tested"
IS 374:1992,Performance req,Mechanical Engi,1992,59.019,Active,pressure vessels,"Applicable to pressure vessels manufactured, teste"
IS 1782:1998,Performance req,Food and Agricu,1998,44.025,Active,fruit and vegetab,Applicable to fruit and vegetable products manufac
IS 3663-2:1991,Classification an,Transport Engine,1991,49.056,Withdrawn,vehicle braking s,Applicable to vehicle braking systems manufacture
IS 350-3:2004,Classification an,Mechanical Engi,2004,39.02,Active,cranes and lifting,Applicable to cranes and lifting equipment manufac
IS 3001-4:1997,Quality requirem,Electronics and I,1997,42.066,Withdrawn,semiconductor d,Applicable to semiconductor devices manufactured
IS 4062-4:1997,Quality requirem,Civil Engineering,1997,42.04,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 2982-3:1998,Classification an,Electronics and I,1998,94.063,Active,laptop batteries,"Applicable to laptop batteries manufactured, tested"
IS 821-4:1991,Quality requirem,Electrotechnical,1991,90.02,Under Revision,circuit breakers,"Applicable to circuit breakers manufactured, tested"
IS 564-4:2007,Classification an,Metallurgical Eng,2007,67.065,Active,steel bars for con,"Applicable to steel bars for concrete manufactured,"
IS 2973-2:2019,Specification for,Electronics and I,2019,31.057,Active,power adapters,"Applicable to power adapters manufactured, tested"
IS 4048-2:2003,Classification an,Civil Engineering,2003,55.091,Active,prefabricated stru,Applicable to prefabricated structures manufactured
IS 834-5:2004,Sampling and tes,Electrotechnical,2004,21.099,Active,electrical wiring a,Applicable to electrical wiring accessories manufac
IS 607:1998,Safety requireme,Metallurgical Eng,1998,31.098,Under Revision,cast iron product,"Applicable to cast iron products manufactured, test"
IS 597-3:2002,Methods of test f,Metallurgical Eng,2002,96.017,Under Revision,pig iron,"Applicable to pig iron manufactured, tested, or sold"
IS 1819-5:2020,General requirem,Water Resources,2020,68.028,Withdrawn,borewell construc,"Applicable to borewell construction manufactured, t"
IS 3679-2:2015,Code of practice,Transport Engine,2015,26.036,Active,vehicle wiring ha,"Applicable to vehicle wiring harness manufactured,"
